sep=,
Group,BinaryPath,GitPath,URL,Name,Description,Language,Stars,Size,PushDate,hasIssues,Forks
xamarin,C:\Users\royw\Workspace\top1000\xamarin-XobotOS,C:\Users\royw\Workspace\top1000\xamarin-XobotOS,https://github.com/xamarin/XobotOS,XobotOS,XobotOS - Android ported to C#,Java,1265,181723,Fri Feb 19 20:28:20 CET 2016,true,266
daizhenjun,C:\Users\royw\Workspace\top1000\daizhenjun-ImageFilterForAndroid,C:\Users\royw\Workspace\top1000\daizhenjun-ImageFilterForAndroid,https://github.com/daizhenjun/ImageFilterForAndroid,ImageFilterForAndroid,,Java,795,1094,Mon Aug 31 03:19:59 CEST 2015,true,443
MiCode,C:\Users\royw\Workspace\top1000\MiCode-FileExplorer,C:\Users\royw\Workspace\top1000\MiCode-FileExplorer,https://github.com/MiCode/FileExplorer,FileExplorer,MIUI文件管理器社区开源版（Community edition of MIUI File Explorer),Java,929,851,Thu Dec 10 23:59:55 CET 2015,true,636
DevLight-Mobile-Agency,C:\Users\royw\Workspace\top1000\DevLight-Mobile-Agency-NavigationTabBar,C:\Users\royw\Workspace\top1000\DevLight-Mobile-Agency-NavigationTabBar,https://github.com/DevLight-Mobile-Agency/NavigationTabBar,NavigationTabBar,Navigation tab bar with colorful interactions.,Java,1711,235,Fri May 20 14:42:25 CEST 2016,true,267
tvbarthel,C:\Users\royw\Workspace\top1000\tvbarthel-BlurDialogFragment,C:\Users\royw\Workspace\top1000\tvbarthel-BlurDialogFragment,https://github.com/tvbarthel/BlurDialogFragment,BlurDialogFragment,Library project to display DialogFragment with a blur effect.,Java,1164,50694,Thu May 12 08:50:04 CEST 2016,true,241
byoutline,C:\Users\royw\Workspace\top1000\byoutline-kickmaterial,C:\Users\royw\Workspace\top1000\byoutline-kickmaterial,https://github.com/byoutline/kickmaterial,kickmaterial,Crowdfunding app concept for Android. Created to showcase new trends in Android development with strong focus on Material Design.,Java,1246,38677,Tue May 24 18:09:44 CEST 2016,true,177
peter-lawrey,C:\Users\royw\Workspace\top1000\peter-lawrey-Java-Chronicle,C:\Users\royw\Workspace\top1000\peter-lawrey-Java-Chronicle,https://github.com/peter-lawrey/Java-Chronicle,Java-Chronicle,Java Indexed Record Chronicle,Java,1044,1339,Sat Jan 02 14:14:52 CET 2016,true,168
romannurik,C:\Users\royw\Workspace\top1000\romannurik-Android-MonthCalendarWidget,C:\Users\royw\Workspace\top1000\romannurik-Android-MonthCalendarWidget,https://github.com/romannurik/Android-MonthCalendarWidget,Android-MonthCalendarWidget,A simple example of a responsive Month Calendar app widget for Android,Java,902,730,Fri Dec 06 22:30:00 CET 2013,true,242
satyan,C:\Users\royw\Workspace\top1000\satyan-sugar,C:\Users\royw\Workspace\top1000\satyan-sugar,https://github.com/satyan/sugar,sugar,Insanely easy way to work with Android Database.  ,Java,1686,14406,Mon May 16 20:45:41 CEST 2016,true,456
lovetuzitong,C:\Users\royw\Workspace\top1000\lovetuzitong-MultiImageSelector,C:\Users\royw\Workspace\top1000\lovetuzitong-MultiImageSelector,https://github.com/lovetuzitong/MultiImageSelector,MultiImageSelector,Image selector for Android device. Support single choice and multi-choice.,Java,1284,3992,Wed May 18 11:51:21 CEST 2016,true,455
nicolasgramlich,C:\Users\royw\Workspace\top1000\nicolasgramlich-AndEngine,C:\Users\royw\Workspace\top1000\nicolasgramlich-AndEngine,https://github.com/nicolasgramlich/AndEngine,AndEngine,Free Android 2D OpenGL Game Engine,Java,2753,24111,Wed May 18 15:20:17 CEST 2016,true,1495
astuetz,C:\Users\royw\Workspace\top1000\astuetz-PagerSlidingTabStrip,C:\Users\royw\Workspace\top1000\astuetz-PagerSlidingTabStrip,https://github.com/astuetz/PagerSlidingTabStrip,PagerSlidingTabStrip,An interactive indicator to navigate between the different pages of a ViewPager,Java,5017,27853,Mon May 30 13:20:06 CEST 2016,true,2510
makovkastar,C:\Users\royw\Workspace\top1000\makovkastar-FloatingActionButton,C:\Users\royw\Workspace\top1000\makovkastar-FloatingActionButton,https://github.com/makovkastar/FloatingActionButton,FloatingActionButton,Android floating action button,Java,3354,12326,Sat Jan 30 02:08:56 CET 2016,true,835
jMonkeyEngine,C:\Users\royw\Workspace\top1000\jMonkeyEngine-jmonkeyengine,C:\Users\royw\Workspace\top1000\jMonkeyEngine-jmonkeyengine,https://github.com/jMonkeyEngine/jmonkeyengine,jmonkeyengine,A complete 3D game development suite written purely in Java.,Java,1054,711301,Sat May 28 18:38:47 CEST 2016,true,350
JetBrains,C:\Users\royw\Workspace\top1000\JetBrains-kotlin,C:\Users\royw\Workspace\top1000\JetBrains-kotlin,https://github.com/JetBrains/kotlin,kotlin,The Kotlin Programming Language,Java,5237,660057,Thu Jun 02 10:35:00 CEST 2016,false,558
querydsl,C:\Users\royw\Workspace\top1000\querydsl-querydsl,C:\Users\royw\Workspace\top1000\querydsl-querydsl,https://github.com/querydsl/querydsl,querydsl,Unified Queries for Java,Java,889,58146,Wed Jun 01 17:30:23 CEST 2016,true,243
jgilfelt,C:\Users\royw\Workspace\top1000\jgilfelt-SystemBarTint,C:\Users\royw\Workspace\top1000\jgilfelt-SystemBarTint,https://github.com/jgilfelt/SystemBarTint,SystemBarTint,[DEPRECATED] Apply background tinting to the Android system UI when using KitKat translucent modes,Java,2934,1099,Sat Sep 05 11:30:48 CEST 2015,false,881
daimajia,C:\Users\royw\Workspace\top1000\daimajia-AndroidImageSlider,C:\Users\royw\Workspace\top1000\daimajia-AndroidImageSlider,https://github.com/daimajia/AndroidImageSlider,AndroidImageSlider,An amazing and convenient Android image slider.,Java,2984,3334,Wed May 18 12:58:59 CEST 2016,true,1027
lzyzsd,C:\Users\royw\Workspace\top1000\lzyzsd-JsBridge,C:\Users\royw\Workspace\top1000\lzyzsd-JsBridge,https://github.com/lzyzsd/JsBridge,JsBridge,android java and javascript bridge inspired by wechat webview jsbridge,Java,1324,291,Thu May 19 02:45:30 CEST 2016,true,335
reactive-streams,C:\Users\royw\Workspace\top1000\reactive-streams-reactive-streams-jvm,C:\Users\royw\Workspace\top1000\reactive-streams-reactive-streams-jvm,https://github.com/reactive-streams/reactive-streams-jvm,reactive-streams-jvm,Reactive Streams Specification for the JVM,Java,1135,1693,Thu Apr 14 20:54:43 CEST 2016,true,93
Tibolte,C:\Users\royw\Workspace\top1000\Tibolte-ElasticDownload,C:\Users\royw\Workspace\top1000\Tibolte-ElasticDownload,https://github.com/Tibolte/ElasticDownload,ElasticDownload,We are not Gif makers We are developers,Java,1196,647,Sat Aug 15 01:04:47 CEST 2015,true,230
mttkay,C:\Users\royw\Workspace\top1000\mttkay-droid-fu,C:\Users\royw\Workspace\top1000\mttkay-droid-fu,https://github.com/mttkay/droid-fu,droid-fu,A utility library for your daily Android needs,Java,958,1723,Thu Jan 31 08:40:06 CET 2013,true,271
CymChad,C:\Users\royw\Workspace\top1000\CymChad-BaseRecyclerViewAdapterHelper,C:\Users\royw\Workspace\top1000\CymChad-BaseRecyclerViewAdapterHelper,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,BaseRecyclerViewAdapterHelper,Powerful and flexible RecyclerAdapterwww.recyclerview.org,Java,1468,47928,Thu Jun 02 08:11:52 CEST 2016,true,250
tangqi92,C:\Users\royw\Workspace\top1000\tangqi92-Android-Tips,C:\Users\royw\Workspace\top1000\tangqi92-Android-Tips,https://github.com/tangqi92/Android-Tips,Android-Tips,An awesome list of tips for android.,Java,2377,209,Sat May 21 11:19:47 CEST 2016,true,672
immutables,C:\Users\royw\Workspace\top1000\immutables-immutables,C:\Users\royw\Workspace\top1000\immutables-immutables,https://github.com/immutables/immutables,immutables,Annotation processor to create immutable objects and builders. Feels like Guava's immutable collections but for regular value objects. JSON Jackson Gson JAX-RS integrations included,Java,944,7431,Sat May 28 07:06:14 CEST 2016,true,59
panwrona,C:\Users\royw\Workspace\top1000\panwrona-DownloadProgressBar,C:\Users\royw\Workspace\top1000\panwrona-DownloadProgressBar,https://github.com/panwrona/DownloadProgressBar,DownloadProgressBar,DownloadProgressBar is an android library that delivers awesome custom progress bar. You can manipulate it's state in every way.,Java,817,887,Sat Aug 15 12:09:32 CEST 2015,true,149
daimajia,C:\Users\royw\Workspace\top1000\daimajia-AndroidViewHover,C:\Users\royw\Workspace\top1000\daimajia-AndroidViewHover,https://github.com/daimajia/AndroidViewHover,AndroidViewHover,An elegant way to show your menu or messages.,Java,2126,7103,Sat May 23 04:11:48 CEST 2015,true,623
yahoo,C:\Users\royw\Workspace\top1000\yahoo-mysql_perf_analyzer,C:\Users\royw\Workspace\top1000\yahoo-mysql_perf_analyzer,https://github.com/yahoo/mysql_perf_analyzer,mysql_perf_analyzer,MySQL Performance Analyzer,Java,1235,7034,Mon Apr 11 17:59:36 CEST 2016,true,169
jgilfelt,C:\Users\royw\Workspace\top1000\jgilfelt-android-sqlite-asset-helper,C:\Users\royw\Workspace\top1000\jgilfelt-android-sqlite-asset-helper,https://github.com/jgilfelt/android-sqlite-asset-helper,android-sqlite-asset-helper,An Android helper class to manage database creation and version management using an application's raw asset files,Java,1517,2361,Thu Jan 14 18:17:00 CET 2016,true,378
klinker41,C:\Users\royw\Workspace\top1000\klinker41-android-slidingactivity,C:\Users\royw\Workspace\top1000\klinker41-android-slidingactivity,https://github.com/klinker41/android-slidingactivity,android-slidingactivity,Android library which allows you to swipe down from an activity to close it.,Java,836,5456,Thu Apr 21 12:01:37 CEST 2016,true,136
square,C:\Users\royw\Workspace\top1000\square-moshi,C:\Users\royw\Workspace\top1000\square-moshi,https://github.com/square/moshi,moshi,A modern JSON library for Android and Java.,Java,1858,793,Sun May 29 04:56:08 CEST 2016,true,145
donglua,C:\Users\royw\Workspace\top1000\donglua-PhotoPicker,C:\Users\royw\Workspace\top1000\donglua-PhotoPicker,https://github.com/donglua/PhotoPicker,PhotoPicker,类似微信的图片选择、预览组件,Java,886,573,Wed May 25 16:47:31 CEST 2016,true,242
NLPchina,C:\Users\royw\Workspace\top1000\NLPchina-ansj_seg,C:\Users\royw\Workspace\top1000\NLPchina-ansj_seg,https://github.com/NLPchina/ansj_seg,ansj_seg,ansj分词.ict的真正java实现.分词效果速度都超过开源版的ict. 中文分词人名识别词性标注用户自定义词典,Java,1932,282364,Thu Jun 02 09:47:26 CEST 2016,true,1140
SpecialCyCi,C:\Users\royw\Workspace\top1000\SpecialCyCi-AndroidResideMenu,C:\Users\royw\Workspace\top1000\SpecialCyCi-AndroidResideMenu,https://github.com/SpecialCyCi/AndroidResideMenu,AndroidResideMenu,The idea of ResideMenu is from Dribbble 1 and 2. It has come true and run in iOS devices. iOS ResideMenu This project is the RefsideMenu Android version. The visual effect is partly referred to iOS version of ResideMenu. And thanks to the authors for the above idea and contribution. ,Java,2130,7008,Thu Nov 05 12:51:14 CET 2015,true,1047
actorapp,C:\Users\royw\Workspace\top1000\actorapp-actor-platform,C:\Users\royw\Workspace\top1000\actorapp-actor-platform,https://github.com/actorapp/actor-platform,actor-platform,Actor Messaging platform,Java,2561,330559,Thu Jun 02 03:04:44 CEST 2016,true,513
baoyongzhang,C:\Users\royw\Workspace\top1000\baoyongzhang-SwipeMenuListView,C:\Users\royw\Workspace\top1000\baoyongzhang-SwipeMenuListView,https://github.com/baoyongzhang/SwipeMenuListView,SwipeMenuListView,[DEPRECATED] A swipe menu for ListView.,Java,2053,1854,Wed Mar 16 06:45:51 CET 2016,true,1017
worker8,C:\Users\royw\Workspace\top1000\worker8-TourGuide,C:\Users\royw\Workspace\top1000\worker8-TourGuide,https://github.com/worker8/TourGuide,TourGuide,TourGuide is an Android library that aims to provide an easy way to add pointers with animations over a desired Android View,Java,1632,542,Wed May 25 18:28:41 CEST 2016,true,260
tjerkw,C:\Users\royw\Workspace\top1000\tjerkw-Android-SlideExpandableListView,C:\Users\royw\Workspace\top1000\tjerkw-Android-SlideExpandableListView,https://github.com/tjerkw/Android-SlideExpandableListView,Android-SlideExpandableListView,A better ExpandableListView with animated expandable views for each list item,Java,1818,6416,Tue Jan 19 08:09:16 CET 2016,true,819
googlesamples,C:\Users\royw\Workspace\top1000\googlesamples-android-testing-templates,C:\Users\royw\Workspace\top1000\googlesamples-android-testing-templates,https://github.com/googlesamples/android-testing-templates,android-testing-templates,,Java,1310,144,Thu May 12 02:19:12 CEST 2016,true,165
flavienlaurent,C:\Users\royw\Workspace\top1000\flavienlaurent-NotBoringActionBar,C:\Users\royw\Workspace\top1000\flavienlaurent-NotBoringActionBar,https://github.com/flavienlaurent/NotBoringActionBar,NotBoringActionBar,News Stand app makes the ActionBar not boring!,Java,1584,5604,Thu Dec 10 03:15:05 CET 2015,true,442
OpenTSDB,C:\Users\royw\Workspace\top1000\OpenTSDB-opentsdb,C:\Users\royw\Workspace\top1000\OpenTSDB-opentsdb,https://github.com/OpenTSDB/opentsdb,opentsdb,A scalable distributed Time Series Database.,Java,2016,37027,Tue May 24 18:46:22 CEST 2016,true,678
glomadrian,C:\Users\royw\Workspace\top1000\glomadrian-material-animated-switch,C:\Users\royw\Workspace\top1000\glomadrian-material-animated-switch,https://github.com/glomadrian/material-animated-switch,material-animated-switch,A material Switch with icon animations and color transitions,Java,854,464,Fri Dec 25 10:20:55 CET 2015,true,121
h6ah4i,C:\Users\royw\Workspace\top1000\h6ah4i-android-advancedrecyclerview,C:\Users\royw\Workspace\top1000\h6ah4i-android-advancedrecyclerview,https://github.com/h6ah4i/android-advancedrecyclerview,android-advancedrecyclerview,RecyclerView extension library which provides advanced features. (ex. Google's Inbox app like swiping Play Music app like drag and drop sorting),Java,2016,1766,Tue May 31 21:24:34 CEST 2016,true,411
pahimar,C:\Users\royw\Workspace\top1000\pahimar-Equivalent-Exchange-3,C:\Users\royw\Workspace\top1000\pahimar-Equivalent-Exchange-3,https://github.com/pahimar/Equivalent-Exchange-3,Equivalent-Exchange-3,,Java,802,14373,Thu Jun 02 03:48:45 CEST 2016,true,471
googlesamples,C:\Users\royw\Workspace\top1000\googlesamples-android-topeka,C:\Users\royw\Workspace\top1000\googlesamples-android-topeka,https://github.com/googlesamples/android-topeka,android-topeka,A fun to play quiz that showcases material design on Android,Java,3394,12256,Mon Apr 11 11:35:30 CEST 2016,true,773
antoniolg,C:\Users\royw\Workspace\top1000\antoniolg-MaterialEverywhere,C:\Users\royw\Workspace\top1000\antoniolg-MaterialEverywhere,https://github.com/antoniolg/MaterialEverywhere,MaterialEverywhere,Showcase of the new AppCompat 21 which includes new Material Theme working in pre-21 devices.,Java,1229,130,Thu Dec 31 14:13:09 CET 2015,true,331
libgdx,C:\Users\royw\Workspace\top1000\libgdx-libgdx,C:\Users\royw\Workspace\top1000\libgdx-libgdx,https://github.com/libgdx/libgdx,libgdx,Desktop/Android/HTML5/iOS Java game development framework,Java,8810,989435,Wed Jun 01 22:26:11 CEST 2016,true,4631
mxn21,C:\Users\royw\Workspace\top1000\mxn21-FlowingDrawer,C:\Users\royw\Workspace\top1000\mxn21-FlowingDrawer,https://github.com/mxn21/FlowingDrawer,FlowingDrawer,swipe right to display drawer with flowing & bouncing effects.,Java,1266,6907,Thu Apr 28 04:51:48 CEST 2016,true,256
yangfuhai,C:\Users\royw\Workspace\top1000\yangfuhai-ASimpleCache,C:\Users\royw\Workspace\top1000\yangfuhai-ASimpleCache,https://github.com/yangfuhai/ASimpleCache,ASimpleCache,a simple cache for android and java,Java,1330,719,Mon Jan 18 10:26:19 CET 2016,true,595
Raizlabs,C:\Users\royw\Workspace\top1000\Raizlabs-DBFlow,C:\Users\royw\Workspace\top1000\Raizlabs-DBFlow,https://github.com/Raizlabs/DBFlow,DBFlow,A blazing fast powerful and very simple ORM android database library that writes database code for you.,Java,2372,6483,Thu Jun 02 00:57:03 CEST 2016,true,354
jlmd,C:\Users\royw\Workspace\top1000\jlmd-AnimatedCircleLoadingView,C:\Users\royw\Workspace\top1000\jlmd-AnimatedCircleLoadingView,https://github.com/jlmd/AnimatedCircleLoadingView,AnimatedCircleLoadingView,An animated circle loading view,Java,803,774,Tue Jan 26 22:27:25 CET 2016,true,152
languagetool-org,C:\Users\royw\Workspace\top1000\languagetool-org-languagetool,C:\Users\royw\Workspace\top1000\languagetool-org-languagetool,https://github.com/languagetool-org/languagetool,languagetool,Style and Grammar Checker for 25+ Languages,Java,759,368037,Thu Jun 02 08:58:32 CEST 2016,true,189
bboyairwreck,C:\Users\royw\Workspace\top1000\bboyairwreck-PieMessage,C:\Users\royw\Workspace\top1000\bboyairwreck-PieMessage,https://github.com/bboyairwreck/PieMessage,PieMessage,This is project allows Android clients to communicate using iMessage,Java,739,6075,Fri May 06 21:52:12 CEST 2016,true,80
Trinea,C:\Users\royw\Workspace\top1000\Trinea-android-common,C:\Users\royw\Workspace\top1000\Trinea-android-common,https://github.com/Trinea/android-common,android-common,Android common lib include ImageCache HttpCache DropDownListView DownloadManager Utils and so on  微信公众号：codekk,Java,3372,2538,Mon Aug 31 04:15:36 CEST 2015,true,2320
weibocom,C:\Users\royw\Workspace\top1000\weibocom-motan,C:\Users\royw\Workspace\top1000\weibocom-motan,https://github.com/weibocom/motan,motan,A remote procedure call(RPC) framework for rapid development of high performance distributed services.,Java,1488,3556,Wed Jun 01 10:37:04 CEST 2016,true,500
quartzjer,C:\Users\royw\Workspace\top1000\quartzjer-TeleHash,C:\Users\royw\Workspace\top1000\quartzjer-TeleHash,https://github.com/quartzjer/TeleHash,TeleHash,Old v1 repo please see http://github.org/telehash now.,Java,782,2535,Thu Oct 24 21:01:11 CEST 2013,true,68
jasonross,C:\Users\royw\Workspace\top1000\jasonross-Nuwa,C:\Users\royw\Workspace\top1000\jasonross-Nuwa,https://github.com/jasonross/Nuwa,Nuwa,Nuwa pure java implementation can hotfix your android application.,Java,1836,0,Sat Nov 14 04:29:44 CET 2015,true,366
MiCode,C:\Users\royw\Workspace\top1000\MiCode-Notes,C:\Users\royw\Workspace\top1000\MiCode-Notes,https://github.com/MiCode/Notes,Notes,小米便签社区开源版（Community edition of XM notepad/MIUI notes),Java,1097,3490,Sun Jun 28 18:23:53 CEST 2015,true,763
daimajia,C:\Users\royw\Workspace\top1000\daimajia-AnimationEasingFunctions,C:\Users\royw\Workspace\top1000\daimajia-AnimationEasingFunctions,https://github.com/daimajia/AnimationEasingFunctions,AnimationEasingFunctions,Android Animation Easing Functions. Let's make animation more real!,Java,1407,389,Thu Nov 05 03:10:01 CET 2015,true,297
fyhertz,C:\Users\royw\Workspace\top1000\fyhertz-libstreaming,C:\Users\royw\Workspace\top1000\fyhertz-libstreaming,https://github.com/fyhertz/libstreaming,libstreaming,A solution for streaming H.264 H.263 AMR AAC using RTP on Android,Java,1156,2693,Tue Apr 26 11:30:12 CEST 2016,true,541
MinecraftForge,C:\Users\royw\Workspace\top1000\MinecraftForge-MinecraftForge,C:\Users\royw\Workspace\top1000\MinecraftForge-MinecraftForge,https://github.com/MinecraftForge/MinecraftForge,MinecraftForge,Modifications to the Minecraft base files to assist in compatibility between mods.,Java,1408,149634,Thu Jun 02 09:35:01 CEST 2016,true,779
Kaopiz,C:\Users\royw\Workspace\top1000\Kaopiz-android-segmented-control,C:\Users\royw\Workspace\top1000\Kaopiz-android-segmented-control,https://github.com/Kaopiz/android-segmented-control,android-segmented-control,ios UISegmentedControl for android,Java,960,1584,Tue May 17 04:30:09 CEST 2016,true,273
plattysoft,C:\Users\royw\Workspace\top1000\plattysoft-Leonids,C:\Users\royw\Workspace\top1000\plattysoft-Leonids,https://github.com/plattysoft/Leonids,Leonids,A Particle System for standard Android UI: http://plattysoft.github.io/Leonids/,Java,855,3421,Tue Apr 26 23:26:23 CEST 2016,true,161
facebookarchive,C:\Users\royw\Workspace\top1000\facebookarchive-hadoop-20,C:\Users\royw\Workspace\top1000\facebookarchive-hadoop-20,https://github.com/facebookarchive/hadoop-20,hadoop-20,Facebook's Realtime Distributed FS based on Apache Hadoop 0.20-append,Java,809,56550,Fri Oct 10 20:40:53 CEST 2014,false,311
DWorkS,C:\Users\royw\Workspace\top1000\DWorkS-VolleyPlus,C:\Users\royw\Workspace\top1000\DWorkS-VolleyPlus,https://github.com/DWorkS/VolleyPlus,VolleyPlus,Volley library : make everything faster . Its an improvements for Volley by Google for Android  https://android.googlesource.com/platform/frameworks/volley ,Java,805,2968,Sun May 22 16:38:28 CEST 2016,true,261
clojure,C:\Users\royw\Workspace\top1000\clojure-clojure,C:\Users\royw\Workspace\top1000\clojure-clojure,https://github.com/clojure/clojure,clojure,The Clojure programming language,Java,5372,15280,Wed Jun 01 15:49:07 CEST 2016,false,928
square,C:\Users\royw\Workspace\top1000\square-sqlbrite,C:\Users\royw\Workspace\top1000\square-sqlbrite,https://github.com/square/sqlbrite,sqlbrite,A lightweight wrapper around SQLiteOpenHelper which introduces reactive stream semantics to SQL operations.,Java,2630,477,Thu Apr 28 16:10:54 CEST 2016,true,214
stanfordnlp,C:\Users\royw\Workspace\top1000\stanfordnlp-CoreNLP,C:\Users\royw\Workspace\top1000\stanfordnlp-CoreNLP,https://github.com/stanfordnlp/CoreNLP,CoreNLP,Stanford CoreNLP: A Java suite of core NLP tools.,Java,1884,245200,Thu Jun 02 02:41:35 CEST 2016,true,683
twitter,C:\Users\royw\Workspace\top1000\twitter-distributedlog,C:\Users\royw\Workspace\top1000\twitter-distributedlog,https://github.com/twitter/distributedlog,distributedlog,A high performance replicated log service.,Java,1818,5296,Thu Jun 02 09:51:50 CEST 2016,true,192
florent37,C:\Users\royw\Workspace\top1000\florent37-HollyViewPager,C:\Users\royw\Workspace\top1000\florent37-HollyViewPager,https://github.com/florent37/HollyViewPager,HollyViewPager,A different beautiful ViewPager with quick swipe controls,Java,776,19469,Tue Sep 01 08:37:15 CEST 2015,true,119
lecho,C:\Users\royw\Workspace\top1000\lecho-hellocharts-android,C:\Users\royw\Workspace\top1000\lecho-hellocharts-android,https://github.com/lecho/hellocharts-android,hellocharts-android,Charts/graphs library for Android compatible with API 8+ several chart types with support for scaling scrolling and animations,Java,2626,6566,Sun May 22 21:07:31 CEST 2016,true,790
jjoe64,C:\Users\royw\Workspace\top1000\jjoe64-GraphView,C:\Users\royw\Workspace\top1000\jjoe64-GraphView,https://github.com/jjoe64/GraphView,GraphView,Android Graph Library for creating zoomable and scrollable line and bar graphs.,Java,1228,3406,Thu Jun 02 09:14:01 CEST 2016,true,555
kanytu,C:\Users\royw\Workspace\top1000\kanytu-android-parallax-recyclerview,C:\Users\royw\Workspace\top1000\kanytu-android-parallax-recyclerview,https://github.com/kanytu/android-parallax-recyclerview,android-parallax-recyclerview, An adapter which could be used to achieve a parallax effect on RecyclerView.,Java,1157,7332,Wed Apr 13 11:28:27 CEST 2016,true,226
geftimov,C:\Users\royw\Workspace\top1000\geftimov-android-player,C:\Users\royw\Workspace\top1000\geftimov-android-player,https://github.com/geftimov/android-player,android-player,Android animation when entering new screen.,Java,783,3224,Sat Feb 20 14:21:48 CET 2016,true,128
fqrouter,C:\Users\royw\Workspace\top1000\fqrouter-fqrouter,C:\Users\royw\Workspace\top1000\fqrouter-fqrouter,https://github.com/fqrouter/fqrouter,fqrouter,anti-GFW router,Java,1741,5716,Fri Dec 13 13:51:33 CET 2013,true,569
lingochamp,C:\Users\royw\Workspace\top1000\lingochamp-FileDownloader,C:\Users\royw\Workspace\top1000\lingochamp-FileDownloader,https://github.com/lingochamp/FileDownloader,FileDownloader,Multitask、Breakpoint-resume、High-concurrency、Simple to use、Single/NotSingle-process,Java,1799,38322,Wed Jun 01 10:39:41 CEST 2016,true,411
diogobernardino,C:\Users\royw\Workspace\top1000\diogobernardino-WilliamChart,C:\Users\royw\Workspace\top1000\diogobernardino-WilliamChart,https://github.com/diogobernardino/WilliamChart,WilliamChart,Android library to create charts.,Java,2267,30595,Mon Feb 08 06:34:33 CET 2016,true,496
iPaulPro,C:\Users\royw\Workspace\top1000\iPaulPro-Android-ItemTouchHelper-Demo,C:\Users\royw\Workspace\top1000\iPaulPro-Android-ItemTouchHelper-Demo,https://github.com/iPaulPro/Android-ItemTouchHelper-Demo,Android-ItemTouchHelper-Demo,Basic example of using ItemTouchHelper to add drag & drop and swipe-to-dismiss to RecyclerView.,Java,1345,284,Thu Mar 17 16:05:55 CET 2016,true,263
hitherejoe,C:\Users\royw\Workspace\top1000\hitherejoe-animate,C:\Users\royw\Workspace\top1000\hitherejoe-animate,https://github.com/hitherejoe/animate,animate,An application demoing meaningful motion on Android,Java,1683,19836,Thu May 26 14:33:05 CEST 2016,true,241
etsy,C:\Users\royw\Workspace\top1000\etsy-AndroidStaggeredGrid,C:\Users\royw\Workspace\top1000\etsy-AndroidStaggeredGrid,https://github.com/etsy/AndroidStaggeredGrid,AndroidStaggeredGrid,An Android staggered grid view which supports multiple columns with rows of varying sizes.,Java,4223,878,Wed Sep 23 17:58:34 CEST 2015,true,1169
novoda,C:\Users\royw\Workspace\top1000\novoda-image-loader,C:\Users\royw\Workspace\top1000\novoda-image-loader,https://github.com/novoda/image-loader,image-loader,Library for async image loading and caching on Android,Java,927,6676,Tue Feb 23 10:28:16 CET 2016,true,339
mongodb,C:\Users\royw\Workspace\top1000\mongodb-mongo-java-driver,C:\Users\royw\Workspace\top1000\mongodb-mongo-java-driver,https://github.com/mongodb/mongo-java-driver,mongo-java-driver,The Java driver for MongoDB ,Java,1509,43244,Wed May 25 17:40:17 CEST 2016,false,945
apereo,C:\Users\royw\Workspace\top1000\apereo-cas,C:\Users\royw\Workspace\top1000\apereo-cas,https://github.com/apereo/cas,cas,Apereo CAS - Enterprise Single Sign On for all,Java,1429,1137567,Thu Jun 02 09:20:51 CEST 2016,true,1015
Jacksgong,C:\Users\royw\Workspace\top1000\Jacksgong-JKeyboardPanelSwitch,C:\Users\royw\Workspace\top1000\Jacksgong-JKeyboardPanelSwitch,https://github.com/Jacksgong/JKeyboardPanelSwitch,JKeyboardPanelSwitch,For resolve the layout conflict when keybord & panel are switching (Android键盘面板冲突 布局闪动处理方案),Java,1192,23926,Mon Apr 25 19:27:09 CEST 2016,true,212
AigeStudio,C:\Users\royw\Workspace\top1000\AigeStudio-DatePicker,C:\Users\royw\Workspace\top1000\AigeStudio-DatePicker,https://github.com/AigeStudio/DatePicker,DatePicker,Useful and powerful date picker for android,Java,905,5401,Wed Dec 30 06:07:04 CET 2015,true,273
hongyangAndroid,C:\Users\royw\Workspace\top1000\hongyangAndroid-FlowLayout,C:\Users\royw\Workspace\top1000\hongyangAndroid-FlowLayout,https://github.com/hongyangAndroid/FlowLayout,FlowLayout,Android流式布局，支持单选、多选等，适合用于产品标签等。,Java,965,908,Fri Apr 29 09:23:51 CEST 2016,true,296
pakerfeldt,C:\Users\royw\Workspace\top1000\pakerfeldt-android-viewflow,C:\Users\royw\Workspace\top1000\pakerfeldt-android-viewflow,https://github.com/pakerfeldt/android-viewflow,android-viewflow,A horizontal view scroller library for Android,Java,1785,1062,Tue Sep 10 09:13:11 CEST 2013,true,803
mrniko,C:\Users\royw\Workspace\top1000\mrniko-redisson,C:\Users\royw\Workspace\top1000\mrniko-redisson,https://github.com/mrniko/redisson,redisson,Redisson - distributed Java objects (Set SetMultimap ScoredSortedSet SortedSet Map ConcurrentMap List ListMultimap Queue BlockingQueue Deque BlockingDeque Semaphore Lock ReadWriteLock AtomicLong CountDownLatch Publish / Subscribe HyperLogLog Bloom filter BitSet) Redis pipelining on top of Redis server. Java Redis client.,Java,1217,4707,Wed Jun 01 13:57:08 CEST 2016,true,397
asyl,C:\Users\royw\Workspace\top1000\asyl-ArcAnimator,C:\Users\royw\Workspace\top1000\asyl-ArcAnimator,https://github.com/asyl/ArcAnimator,ArcAnimator,ArcAnimator helps to create arc transition animation: 2.3.+,Java,956,126,Sun May 15 16:46:42 CEST 2016,true,138
